,accuracy,precision,recall,f1_score,precision_macro,recall_macro,f1_score_macro
linear_svm,0.7450639251350996,0.7452636462043766,0.7450639251350996,0.7450121608579533,0.7452634616192848,0.7450643008966915,0.7450122565405357
logistic_regression,0.750599710030315,0.7507624832534405,0.750599710030315,0.7505593565436665,0.7507623147511391,0.7506000454917848,0.7505594400912577
naive_bayes,0.7415052062738895,0.7415265410525262,0.7415052062738895,0.7414995468223274,0.7415264811233728,0.7415053297857539,0.7414995786169991
